,text,actions
533,he said he will upadte me once he decide,"['said', 'upadte']"
534,had a meeting in the office he said he will update within a week he said he will update in next 2 3 days he said he will upadte by weekend he is not responding to calls and msgs,"['meeting', 'said', 'update', 'update', 'upadte', 'responding', 'calls', 'msgs']"
535,had a call he asked me to share details through whtsapp he said he not yet decided anything he said he is not intretsed as of now,"['call', 'asked', 'share', 'decided', 'said', 'intretsed']"
536,tried again he is still not responding to call he said he is not looking any investments,"['responding', 'looking', 'investments']"
537,he said he is not intreted,"['said', 'intreted']"
538,tried again still not responding to call so msgd him through whtsapp tried again still not responding to calls and msgs,"['tried', 'responding', 'msgd', 'whtsapp', 'responding', 'calls', 'msgs']"
539,he asked me to share details through whtsapp he said he will let me know,"['asked', 'share', 'whtsapp', 'said']"
540,he said he is not yet deicded anything on the investment he said he will update once he decides,"['said', 'deicded', 'update', 'decides']"
541,tried again he still not responding to call rnr he said he is not intrested,"['tried', 'responding', 'call', 'intrested']"
542,tried again still number shows busy had a call explained her all the details and shared details through whtsapp she said she will check with his father and update she is not responding to calls and smsg she said she in a vacation she will come back next week she said she is not responding to calls and msgs she said she will update me if she is intretsed in future,"['busy', 'call', 'shared', 'check', 'update', 'calls', 'vacation', 'responding', 'calls', 'msgs', 'update']"
543,tried again still not responding to call busy had a call he asked me to share details through whtsapp he said he will update if he is intrested he is not responding to calls and msgs,"['responding', 'busy', 'call', 'asked', 'share', 'update', 'responding', 'calls', 'msgs']"
544,not enquired,['enquired']
545,tried again still number shows busy tried again still number shows busy,"['tried', 'busy', 'tried', 'busy']"
546,he said he is not yet decided not responding to the calls and messages not responding to calls and msgs,"['said', 'decided', 'responding', 'calls', 'messages', 'responding', 'calls', 'msgs']"
547,had a call and shared details of investment through whtsapp he said after holi he will talk he said after holi he will talk need to call on monday he said he will talk after march month due to fi cial year he unable to take any decisions,"['call', 'shared', 'holi', 'talk', 'holi', 'talk', 'call', 'talk', 'take', 'decisions']"
548,he said he has decided to pass this investment opportunity,"['said', 'decided', 'pass', 'investment']"
549,he said he is not looking this type of investments,"['said', 'looking', 'investments']"
550,he has some 1 5cr in hand now he is planning to invest in somewhere shared details of the landing ncd ,"['invest', 'shared', 'landing']"
551,he didint responded to call yet,"['responded', 'call']"
552,he said he want to own the property for lifelong,['own']
553,had a call he said he didint enquired might be someone did,"['call', 'enquired']"
554,number still shows busy now he is disconnecting the call,"['busy', 'disconnecting', 'call']"
555,tried calling him multiple times he is not responding to calls and msgs,"['calling', 'responding', 'calls', 'msgs']"
556,not enquirred,['enquirred']
557,he still not responded to call rnr tried again he still not responding to call,"['responded', 'call', 'responding', 'call']"
558,lead is for business development lead assigned to ramakrishna katta by anshul ,"['lead', 'development']"
559,still number shows out of coverage,['coverage']
560,tried again still not responding to call switched off tried again still not responding to call rnr ,"['tried', 'responding', 'switched off', 'responding', 'call']"
561,he asked me to share details through whtsapp he said he is not intrested he didint responded to call so msgd him through whtsapp,"['asked', 'share', 'whtsapp', 'said', 'intrested', 'responded', 'call', 'msgd', 'whtsapp']"
562,tried multiple time he is not responding to calls and msgs,"['responding', 'calls', 'msgs']"
563,tried again he did not responded to call tried again still he is not responding to call,"['tried', 'responded', 'call', 'tried', 'responding', 'call']"
564,he asked me to share details through whtsapp he said he not yet gone through the details he said he will check and update he said he is not intrested now,"['asked', 'share', 'whtsapp', 'said', 'check', 'update', 'said', 'intrested']"
565,he is disconnecting the call tried calling him again still he didint responded to call,"['disconnecting', 'call', 'calling', 'responded', 'call']"
566,had a call he asked me to share details through whtsapp had a call again explained and shared details he said he will check and update he gave one number to talk he said after call he will update he said he need more time to think he said if he intretsed he will call me back,"['call', 'asked', 'share', 'call', 'shared', 'check', 'update', 'talk', 'call', 'update', 'think', 'call']"
567,he said by mistakenly he enquired,"['said', 'enquired']"
568,tried again he is disconnecting the call tried again he is disconnecting the call,"['tried', 'disconnecting', 'call', 'disconnecting', 'call']"
569,he is not responding to calls and mssg he said he will update me if he is intrested,"['responding', 'calls', 'mssg', 'said', 'update']"
570,not responding to call rnr not responding to call rnr ,"['responding', 'call', 'responding', 'call']"
571,nmber still shows off,['shows off']
572,tried again still not responding to call so msgd him through whtsapp he is not responding to calls and msgs,"['tried', 'responding', 'msgd', 'whtsapp', 'responding', 'calls', 'msgs']"
573,he said he is still checking he said he will update he is disconnecting the call,"['said', 'checking', 'update', 'disconnecting', 'call']"
574,not yet decided,['decided']
575,tried again he is disconnecting the call,"['disconnecting', 'call']"
576,had a call he said he is busy so asked me to share details through whtsapp he said he will decide and let me know once it done he said he is not intrested now,"['call', 'busy', 'asked', 'share', 'said', 'decide', 'done']"
577,tried reaching him again but he did not picked the call he said me to call on friday 7pm he said he not yet decided on the investment,"['tried', 'picked', 'call', 'call', 'decided', 'investment']"
578,he still not responding to call he said he didint enquired any investments,"['responding', 'call', 'enquired', 'investments']"
579,he is not responding to calls na dmsgs,"['responding', 'calls', 'dmsgs']"
580,tried gain he still not responding to call tried again he still not responding to call,"['tried', 'responding', 'tried', 'responding', 'call']"
581,still not responded to msg,['responded']
582,tried again still shows off lead assigned to raj hegde by anshul ,['lead']
583,he said if he is interested he will only call me he said he is not intrested,"['said', 'interested', 'call', 'intrested']"
584,had a call and explained and shared details of investment through whatsapp he said he will try to visit the office on monday he said he not yet reached to hyd once he reaches he said he will call me he is not responding to calls and msgs,"['call', 'shared', 'whatsapp', 'visit', 'reached', 'call', 'responding', 'calls', 'msgs']"
585,he asked me to share details through whtsapp he said he not yet gone through the document he said he will check and update he said he is not interested as of now,"['asked', 'share', 'said', 'check', 'update', 'interested']"
586,tried again he is not responding to call he said he is not intrested,"['tried', 'responding', 'intrested']"
587,he said he will update me once he decides he said he will get back to me he said he not yet deicded he is not responding to calls and msgs,"['said', 'update', 'decides', 'said', 'deicded', 'responding', 'calls', 'msgs']"
588,tried multiple times he is not responding to calls and msgs,"['responding', 'calls', 'msgs']"
589,number shows busy tried again she still didint responding to call,"['busy', 'tried', 'responding', 'call']"
590,he said if there is loan than only he can go head he said,[]
591,had a call and explained and shared details of investment though whtsapp forwarded number to manoj sir to talk,"['call', 'explained', 'shared', 'talk']"
592,tried again he still not responding to call tried again he si not responding to call she said she is not intrested,"['tried', 'responding', 'tried', 'responding']"
593,he said he will check and upadte he said he will meet us to discuss the things had a call again and explained details again he said he will think and let us know,"['said', 'check', 'upadte', 'meet', 'discuss', 'call', 'explained', 'think']"
594,he said he not yet decided he is not responding to calls and msgs,"['said', 'decided', 'responding', 'calls', 'msgs']"
595,had a call and explained and shared details of investment through whtsapp he said he will update me once he decides he said he not yet decided,"['call', 'shared', 'update', 'decides', 'decided']"
596,she said she will update if intrested she is saying she needs a proper documents which i shared she said that is not enough,"['said', 'update', 'intrested', 'shared']"
597,not decided yet anything he said tried calling him he is not responding to calls and msgs,"['decided', 'said', 'calling', 'responding', 'calls', 'msgs']"
598,he said he will meet up in the office to discuss the things he said he father is not responding on the investment he said he might not able to invest,"['said', 'meet up', 'discuss', 'responding', 'investment', 'invest']"
599,she asked me to share details through whtsapp she is not responding to calls and msgs,"['asked', 'responding', 'calls', 'msgs']"
600,tried again this time number shows off,"['tried', 'off']"
601,he asked me about lake city project i explained that also he said he will upadte me number shared to manoj sir to talk regarding on lake city project he said he will update if he is intrested,"['asked', 'explained', 'said', 'upadte', 'talk', 'update']"
602,had a call explained and shared details through whtsapp he is not responding to calls and msgs tried again still not responding to calls and msgs,"['call', 'shared', 'responding', 'calls', 'msgs', 'responding', 'calls', 'msgs']"
603,still number shows off ,['off']
604,had a call and explained and shared details of investment through whtsapp he is asking for loans if loans avaialbe he said he will move forward,"['call', 'explained', 'shared', 'asking', 'said', 'move forward']"
605,had a call he said he is travelling so asked me to share details through whtsapp he is not responding to calls and msgs,"['call', 'travelling', 'asked', 'responding', 'calls', 'msgs']"
606,had a call and explained everything and shared details also through whtsapp he said he not yet decided he said he need time,"['call', 'explained', 'shared', 'decided', 'said']"
607,he is not responding to call and msgs he said he family members said no for the investment,"['responding', 'call', 'msgs', 'investment']"
608,had a call explained and shared details through whatsapp he said he will check and update,"['call', 'shared', 'whatsapp', 'said', 'check', 'update']"
609,he said he will inform me once he decide,"['said', 'inform', 'decide']"
610,still not responding to call,"['responding', 'call']"
611,he said he cannot invest 25 lakhs at a time,"['said', 'invest']"
612,he said he will look into it and let us knw he is not responding to calls and msgs,"['said', 'look', 'responding', 'calls', 'msgs']"
613,tried again still not responding to call so msgd him through whtsapp tried again he still not responding to calls and msgs,"['tried', 'responding', 'msgd', 'whtsapp', 'responding', 'calls', 'msgs']"
614,tried calling him again he is not responding to call tried calling him again still he is not responding to call ,"['tried', 'calling', 'responding', 'call', 'tried', 'calling', 'responding', 'call']"
615,this time it shows number not in service,['service']
616,he said he is not interesrted,['interesrted']
617,number still shows switched off,['switched off']
618,tried calling him this time he disconnected the call,"['tried', 'calling', 'disconnected', 'call']"
619,had a call and shared details through whtsapp,"['call', 'shared', 'whtsapp']"
620,he said he is busy and he will call me back he said as of now he is not intretsed,"['said', 'busy', 'call', 'said']"
621,tried calling him again he is not responding to call rnr tried calling him again he is not responding to call rnr ,"['tried', 'calling', 'responding', 'call', 'calling', 'responding']"
622,tried again still not responding to calls and msgs he is not responding to calls and msgs,"['tried', 'responding', 'calls', 'msgs', 'responding', 'calls', 'msgs']"
623,tried again still number shows busy tried again he still not responding to call,"['busy', 'responding', 'call']"
624,not intretsed he said,['intretsed']
625,he said he is out of station he said he will come after 2 weeks he said once he get some free time he will update to meet me he said he will look in future to invest as of now he is not intresteed,"['said', 'station', 'come', 'update', 'meet', 'look', 'invest']"
626,he said he will visit our office and discuss he said he will come to our office on monday he visited the site today and had some queries and cleared the queries he said he will check and update he is looking for loan options he said he will update he said he cannot proceed without loan,"['said', 'visit', 'discuss', 'come', 'visited', 'queries', 'cleared', 'queries', 'check', 'update', 'update', 'proceed']"
627,tried again not responding to the call rnr ,"['responding', 'call']"
628,he said he not yet decided anything he said if he is interested he will only call me,"['said', 'decided', 'interested', 'call']"
629,number is switched off now,['switched off']
630,had a call and explained all the investment details and shared details through whtsapp he said he will update soon,"['call', 'explained', 'investment', 'shared', 'said', 'update']"
631,he said he is in opd so asked me to callback,"['opd', 'asked', 'callback']"
632,he said he not yet decided anything on the investment he said e he will pass this investmengt,"['said', 'decided', 'investment', 'said', 'pass']"
633,he asked me to share details though whtsapp he said he is busy now he said he is not intrested,"['asked', 'share', 'said', 'busy']"
634,tried again he is disconnecting the call tried again he still not responding to call tried again now he disconnecting the call,"['tried', 'disconnecting', 'call', 'responding', 'call', 'disconnecting', 'call']"
635,tried calling him again he is not responding to call tried again he is not responding to call,"['tried', 'calling', 'responding', 'call', 'tried', 'responding']"
636,tried again still number shows busy tried again he still not respondng to call rrn,"['busy', 'respondng', 'call']"
637,tried again still number shows busy tried again still not responding to call busy,"['tried', 'busy', 'responding', 'busy']"
638,tried again still he is not responding to call number switched off,"['responding', 'switched off']"
639,not responding to call rnr i tried again he still not responding to call rnr,"['responding', 'call', 'responding', 'call']"
640,his call got busy call discoonected tried reaching him out again he did not responded to call,"['call', 'busy', 'discoonected', 'responded', 'call']"
641,she asked me to share details throough whtsapp she said she will update if there is anything she said she will update if interested in future,"['asked', 'share', 'said', 'update', 'said', 'update', 'interested']"
642,not responded to msg yet,['responded']
643,i tried again he still not responding to call rnr i tried again he still not responding to call rnr ,"['tried', 'responding', 'call', 'responding', 'call']"
644,tried multiple times he is not responding to calls and msgs tried again still not responding to calls and msgs,"['responding', 'calls', 'msgs', 'calls', 'msgs']"
645,he said he will update by next week so asked me to call me by next week tried calling him he is not responding to call so msgd through whtsapp he said he can not afford any investments now,"['said', 'update', 'asked', 'call', 'calling', 'responding', 'msgd', 'whtsapp', 'afford', 'investments']"
646,tried again still not responding to call so msgd through whtsapp tried again still she is not responding to calls and msgs,"['tried', 'responding', 'msgd', 'whtsapp', 'responding', 'calls', 'msgs']"
647,he still not responded to calls and msgs,"['responded', 'calls', 'msgs']"
648,he is not responding to calls an dmsgs not responding to calls and msgs,"['responding', 'calls', 'dmsgs', 'responding', 'calls', 'msgs']"
649,he said he not yet decided anything on the investment he said he is not intretsed now,"['said', 'decided', 'investment', 'intretsed']"
650,he asked me to share documents through whatsapp he said he will check and update at present he said he cannot proceed with the investment,"['asked', 'share', 'whatsapp', 'said', 'check', 'update', 'said', 'proceed', 'investment']"
651,had a calla and shared details tghrough whtsapp he said he is not interested and i shared details of debenture ,"['calla', 'shared', 'interested', 'shared']"
652,he said he will decide and inform he said he can go if there is loan option,"['said', 'inform', 'said']"
653,tried again still number shows busy tried again he still not responding to call rnr,"['tried', 'busy', 'responding', 'call']"
654,tried calling him still he is not responding to call tried calling him again still he is not responding to call,"['tried', 'calling', 'responding', 'call', 'tried', 'calling', 'responding', 'call']"
655,tried again he still not responding to call rnr tried again he is not responding to call,"['tried', 'responding', 'call', 'responding']"
656,he is not responding to calls an dmsgs,"['responding', 'calls', 'dmsgs']"
657,tried again he still not responding to call rnr he said he is not interested,"['tried', 'responding', 'call', 'interested']"
658,he asked me to share details through whtsapp he said he will check and update he said he will update on the investment once he decides,"['asked', 'share', 'whtsapp', 'said', 'check', 'update', 'update', 'investment', 'decides']"
659,not yet decided he said he will confirm,"['decided', 'confirm']"
660,she said she is not responding to calls and msgs tried again still she is not responding to calls and msgs,"['said', 'responding', 'calls', 'msgs', 'responding', 'calls', 'msgs']"
661,he is not responding to calls and msgs he said he not yet decided,"['responding', 'calls', 'msgs', 'decided']"
662,tried again still he did not picked up the call,"['tried', 'picked']"
663,had a call and explained shared details through whtsapp had a meeting in the office and had a good conversation,"['call', 'shared', 'meeting', 'conversation']"
664,he said he will go through the docs and let us know not yet decided anything yet he saud,"['said', 'go through', 'docs', 'decided', 'saud']"
665,tried reaching him again still he did not picked up the call tried again but still he did not responded to call,"['tried', 'picked', 'call', 'responded', 'call']"
666,he said he is still evaluating terms he said he is interested in debenture series,"['evaluating', 'interested']"
667,he said he not yet decided he said he is not intretsed,"['said', 'decided', 'intretsed']"
668,he said he is not intretsed now,['intretsed']
669,he said he didint decided anything he is not responding to calls and msgs,"['said', 'decided', 'responding', 'calls', 'msgs']"
670,still not responded to call,"['responded', 'call']"
671,tried again still not responding to call rnr he is not responding to calls and msgs,"['tried', 'responding', 'call', 'responding', 'calls', 'msgs']"
672,he said he need more time to think and decide tried calling him he is not responding to call,"['said', 'think', 'decide', 'tried', 'calling', 'responding', 'call']"
673,had a call and shared details of investment through whtsapp along with the zoom link,"['call', 'shared', 'investment', 'whtsapp', 'zoom link']"
674,msgd details through whtsapp he said he will check and revrt not responding to calls and msgs tried again he is not ressponding to calls and msgs,"['msgd', 'whtsapp', 'check', 'revrt', 'responding', 'calls', 'msgs', 'ressponding', 'calls', 'msgs']"
675,tried again still number shows busy he said he is busy so asked me to share details through whtsapp not yet decided he is not responding to calls and msgs,"['busy', 'busy', 'share', 'decided', 'responding', 'calls', 'msgs']"
676,explained and shared details through whtsapp he said he wants to associate as a channel patner he said he will meet today 19 03 2022 to discuss went to meet him and planning to do a even in rainbow gated appartments,"['explained', 'shared', 'whtsapp', 'associate', 'meet', 'discuss']"
677,not responding to calls and msgs he said he is not intrsted,"['responding', 'calls', 'msgs', 'intrsted']"
678,had a call again and explained and shared details he said he will check and update,"['call', 'explained', 'shared', 'said', 'check', 'update']"
679,tried again still number shows busy so msgd him through whtsapp he asked me to share details through whtsapp,"['busy', 'msgd', 'whtsapp', 'asked', 'share', 'whtsapp']"
680,he said he will call me when he gets free he said he will meet us in the office on monday he said he is busy so cant come to office he said once he get free he said he will update he said he will pass this now,"['said', 'call', 'free', 'busy', 'come', 'free', 'update', 'pass']"
681,he said he not yet decided anything once he decides he said he will let me know not responding to calls and msgs,"['said', 'decided', 'decides', 'said', 'responding', 'calls', 'msgs']"
682,he said he will update once he decides he is not responding to calls and msgs tried again still not responding to calls and msgs,"['update', 'decides', 'responding', 'calls', 'msgs', 'calls', 'msgs']"
683,he said he will meet me in the office mostly on monday he is not responding to calls and msgs,"['said', 'meet', 'responding', 'calls', 'msgs']"
684,had a call and shared details of investment through whtsapp he said he not yet decided anything yet he said he will pass this investment,"['call', 'shared', 'investment', 'said', 'pass', 'investment']"
685,he asked me to share site location and office location he said he will meet in the office he said he is mumbai ryt now he said he will update by this saturday not responding to calls and msgs tried again not responding to calls and msgs,"['asked', 'share', 'office', 'meet', 'said', 'mumbai', 'update', 'responding', 'calls', 'msgs', 'calls', 'msgs']"
686,he said he is not interested now,['interested']
687,lead assigned to venkat ghanusala by anshul he said he is not intrested,"['lead', 'venkat']"
688,he said he will call and update me once he deicded he said he is busy he said he will call me once he get free he is not responding to calls and msgs,"['said', 'call', 'update', 'deicded', 'busy', 'call', 'free', 'responding', 'calls', 'msgs']"
689,he said he will update by 1st of next month he said he is not intrested,"['said', 'update', 'intrested']"
690,had a call and explained and shared details through whtsapp he said he will update he said he not yet decided anything he is not responding to calls and msgs,"['call', 'shared', 'update', 'decided', 'responding', 'calls', 'msgs']"
691,he sais he is not intrested,"['sais', 'intrested']"
692,invested in debentures an opportunity is already existing where the status is marked as won ,"['invested', 'opportunity', 'existing', 'marked', 'won']"
693,not responding to calls tried multiple times,"['responding', 'calls', 'tried']"
694,he said he is thinking he said he will let me know he said he not yet decided anything he is not responding to calls and msgs,"['said', 'thinking', 'said', 'decided', 'responding', 'calls', 'msgs']"
695,he is disconnecting the call,"['disconnecting', 'call']"
696,tried again still he is not responding to call tried again still he is not responding to call,"['tried', 'responding', 'call', 'tried', 'responding', 'call']"
697,tried again this time number shows switched off,"['tried', 'switched off']"
698,he said he ddint enquired any investments,"['said', 'enquired', 'investments']"
699,still number shows busy tried again number still shows busy,"['busy', 'tried', 'busy']"
700,tried again still not responding to calls and msgs he asked me to share details through whtsapp and she said he did not decided anything he is not responding to calls and msgs,"['responding', 'calls', 'msgs', 'asked', 'share', 'decided', 'responding', 'calls', 'msgs']"
701,tried again this time his phn is switched off had a call and shared details through whatsapp he said he will check and revert back tried calling him he is not responding to calls and msgs,"['tried', 'phn', 'switched off', 'call', 'shared', 'whatsapp', 'check', 'revert', 'calling', 'responding', 'calls', 'msgs']"
702,he said he will update soon he said he is not intrested,"['said', 'update', 'intrested']"
703,tried calling him again but he did not responded to call tried again still he is not responding to call,"['tried', 'calling', 'responded', 'call', 'tried', 'responding', 'call']"
704,not yet decided he said he is not intretsed,"['decided', 'intretsed']"
705,not answering to call rnr tried again he still not responding to call,"['answering', 'call', 'responding', 'call']"
706,tried again stil not responding to call busy ,"['responding', 'busy']"
707,tried again he is not responding to call rnr tried again he is not responding to call rnr ,"['tried', 'responding', 'call', 'responding']"
708,had a call and explained and shared details of investment through whtsapp he said he not yet gone through the documents yet he said he will let me know soon he said he not yet decided anything number switched off so msgd him through whtsapp he is not responding to msgs too and his number is switched off,"['call', 'shared', 'said', 'decided', 'switched off', 'msgd', 'responding', 'msgs', 'switched off']"
709,number is busy disconnected the call some one picked up and said she is not therre,"['busy', 'call', 'picked', 'said', 'therre']"
710,he said he need more time to think about this,['think']
711,had a call explained and shared details through whtsapp not responding to calls and msgs tried again he still not responding to calls and msgs,"['call', 'shared', 'responding', 'calls', 'msgs', 'responding', 'calls', 'msgs']"
712,had a call and shared details of investment through whtsapp,"['call', 'shared', 'investment']"
713,he is speaking in kanada said he dont know english,"['speaking', 'kanada', 'said', 'english']"
714,incoming calls not available number still shows off,"['calls', 'available', 'off']"
715,he said he didnt enquired any investmnets,"['said', 'enquired', 'investmnets']"
716,had a call and explained and shared details through whtsapp he said he is very busy now he cannot decide anything he said,"['call', 'shared', 'busy', 'decide', 'said']"
717,tried again she still not responding to call tried again he is still not responding to call,"['responding', 'tried', 'responding', 'call']"
718,tried again still number shows off tried again still number shows off ,"['tried', 'off', 'tried', 'off']"
719,tried again still not responding to call swicth off,"['responding', 'swicth']"
720,tried again he is still not responding to call tried again he is still not responding to call,"['responding', 'tried', 'responding', 'call']"
721,tried again he still not responding to call rnr ,"['tried', 'responding', 'call']"
722,keeps disconnecting the call lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"['disconnecting', 'call', 'lead', 'lead']"
723,client just went through the details does not have intent to invest client just went through the details does not have intent to invest lead assigned to ramakrishna katta by anshul lead assigned to raj hegde by anshul ,"['went through', 'intent', 'invest', 'intent', 'invest', 'lead']"
724,tried again still number shows busy had a call and explained shared details through whatsapp he said by next week he will plan to come to the office he met with me in the office had a good conversation need to share documents,"['busy', 'call', 'shared', 'whatsapp', 'plan', 'come', 'met', 'conversation', 'share']"
725,he disconnected the call,"['disconnected', 'call']"
726,tried again still not respond to call so msgd through whtsapp had a call he said he know aswin sir he said he will talk with aswin sir and get back to us he said he will go through the details and let us know,"['respond', 'msgd', 'whtsapp', 'call', 'aswin', 'talk', 'aswin', 'go through']"
727,he said he is in meeting so asked me to share details through whtsapp he said he is not intrested,"['said', 'meeting', 'asked', 'share', 'whtsapp', 'said', 'intrested']"
728,tried again he is not responding to call so msgd him through whtsapp he is not responding to calls and msgs tried again he is not responding to call,"['tried', 'responding', 'msgd', 'whtsapp', 'responding', 'calls', 'msgs', 'responding', 'call']"
729,tried again not responding to calls and msgs,"['responding', 'calls', 'msgs']"
730,tried twice he is not responding to call,"['tried', 'responding', 'call']"
731,he said he is not intrested if anyone is intretsed he said he will let me know,"['said', 'intrested', 'intretsed']"
732,tried again still number shows busy tried again this time number is not getting connected,"['tried', 'busy', 'tried', 'connected']"
733,tried again still not responding to call tried again still he is not responding to call,"['tried', 'responding', 'tried', 'responding', 'call']"
734,had a call he asked me to share details through whtsapp,"['call', 'asked', 'share', 'whtsapp']"
735,he said he cannot afford 26 lakhs,"['said', 'afford']"
736,he said he will update if there is anything,['update']
737,he said he is busy so he said he will call me next week he is not responding to calls and smgs tried again still he is not responding to calls and msgs,"['said', 'busy', 'said', 'call', 'responding', 'calls', 'smgs', 'responding', 'calls', 'msgs']"
738,tried again still not responding to call so msgd him through whtsapp he is still not responding to calls and msgs,"['tried', 'responding', 'msgd', 'whtsapp', 'responding', 'calls', 'msgs']"
739,had a call explained and shared details through whtsapp she said she not yet decided anything to go she said if she is interested she will only call me,"['call', 'shared', 'go', 'interested', 'call']"
740,he said he is looking for bank loans to invest,['invest']
741,tried again still not responding to call rnr had a call he said he is busy so asked me to share details through whtsapp he said he cannot afford amount in one shot,"['responding', 'call', 'call', 'busy', 'share', 'said', 'afford']"
742,he said he not yet decided anything yet,"['said', 'decided']"
743,had a call he asked me to share details through whtsapp he said he not yet decided he said he is not intrested,"['call', 'asked', 'share', 'decided', 'said']"
744,he said if interested he will let me know he said he is not intrested,"['said', 'interested', 'said', 'intrested']"
745,he said he is interested in debenture option once it live need to update,"['said', 'interested', 'update']"
746,tried again call is not getting connected had a call he said me to share details through whtsapp he said he will let me know once he decides not responding to call so msgd him through whtsapp tried again still not responding to calls and msgs,"['call', 'connected', 'call', 'share', 'decides', 'responding', 'call', 'msgd', 'responding', 'calls', 'msgs']"
747,not responding to calls and msgs tried again he still not responding to calls and msgs tried again he still not responding to calls and msgs ,"['responding', 'calls', 'msgs', 'responding', 'calls', 'msgs', 'responding', 'calls', 'msgs']"
748,he said he not yet decided he said he will update me if interested he said he is not interested,"['said', 'decided', 'update', 'interested', 'interested']"
749,he said he will meet me in the office on saturday,"['said', 'meet']"
750,she is not responding to calls and msgs she said she is outside she said she will ping me she said she is not intretsed,"['responding', 'calls', 'msgs', 'ping']"
751,not responding to msgs and calls,"['responding', 'msgs', 'calls']"
752,she said she will discuss with her husband and ket us know she said she will discuss with her husband and ket us know she said she will discuss with her husband and ket us know she said as of now he is not intrested,"['said', 'discuss', 'ket', 'discuss', 'ket', 'discuss', 'ket', 'said']"
753,tried again still not responding to call so msgd him through whtsapp still he is not responding to calls and msgs he picked up the call and said wrong number,"['tried', 'responding', 'msgd', 'whtsapp', 'responding', 'calls', 'msgs', 'picked', 'call']"
754,had a call explained and shared details she said one day she will visit our office to discuss she is not responding to calls and msgs tried again still not responding to calls and msgs,"['call', 'shared', 'said', 'visit', 'discuss', 'responding', 'calls', 'msgs', 'responding', 'calls', 'msgs']"
755,still not received any msg from his side,"['received', 'msg']"
756,had a call and shared details of investment through whtsapp he said he is not intretsed,"['call', 'shared', 'investment', 'intretsed']"
757,still number is not getting connected,['connected']
758,he said he is driving so asked me to share details through whtsapp he said he will get back to us not responding to calls and msgs tried again still he is not responding to call,"['said', 'driving', 'asked', 'share', 'whtsapp', 'said', 'responding', 'calls', 'msgs', 'responding', 'call']"
759,he said by this weekend he will upadte not responding to calls and msgs tried again still not responding to calls and msgs,"['said', 'upadte', 'responding', 'calls', 'msgs', 'responding', 'calls', 'msgs']"
760,had a call and explained details and shred details through whtsapp he said he not yet decided he said if he is intretsed he will only call me,"['call', 'shred', 'decided', 'call']"
761,lead assigned to preeti srinivasan by anshul lead assigned to preeti srinivasan by anshul lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"['lead', 'lead', 'lead', 'lead']"
762,not responding to call rnr tried again he still not responding to call,"['responding', 'call', 'responding', 'call']"
763,he said he not yet gone though the details he sad he will go through and let us know he said he will give me a call once he get free not responding to calls and msgs tried again he is still not responding to calls and msgs,"['said', 'gone', 'sad', 'go through', 'said', 'call', 'free', 'responding', 'calls', 'msgs', 'responding', 'calls', 'msgs']"
764,he said he is busy so asked me to share details through whtsapp he said he will call me on friday he didint called me so i tried to call him he didint responded so msgd him through whtsapp he said he not yet decided he said he will let me know once he finalise,"['busy', 'share', 'whtsapp', 'call', 'called', 'call', 'msgd', 'decided', 'finalise']"
765,he said he not yet decided he said he will update once he decide he is not responding to calls and msgs,"['said', 'decided', 'update', 'decide', 'responding', 'calls', 'msgs']"
766,multiple attempts made no response from the client hence keeping a followup on 4th of april lead assigned to ramakrishna katta by anshul lead assigned to raj hegde by anshul ,"['attempts', 'response', 'followup', 'lead', 'lead']"
767,he said he will meet up in the office had a meeting in the office client said he will revert once he confirm with his ca he said he will update me by this week he is not responding to calls and msgs,"['said', 'meet up', 'meeting', 'revert', 'confirm', 'said', 'update', 'responding', 'calls', 'msgs']"
768,had a call again and explained details again he said he will check and update he said he is checking for loan options,"['call', 'explained', 'check', 'update', 'checking']"
769,tried again he still not responding to call this time number shows off,"['tried', 'responding', 'shows off']"
770,he said he need some time he said he will get back next week he said he not yet decided anything he is not responding to calls and msgs,"['said', 'said', 'back', 'decided', 'responding', 'calls', 'msgs']"
771,tried again he still not responding to calls and msgs,"['responding', 'calls', 'msgs']"
772,tried reaching him out agin but he did not respond to call tried again but he did not picked up the call tried again still he didint responded to call,"['tried', 'respond', 'call', 'picked', 'call', 'responded', 'call']"
773,he said he not yet decided he said he will update once he deicde he is not responding to calls and msgs,"['said', 'decided', 'update', 'deicde', 'responding', 'calls', 'msgs']"
774,tried again still he is not responding to call tried again he is not responding to call,"['tried', 'responding', 'call', 'tried', 'responding']"
775,he said if there is any update he will only upodate he is not responding to calls and msgs,"['said', 'update', 'upodate', 'responding', 'calls', 'msgs']"
776,he said he will call me if intrested he said as of now he is not intretsed,"['said', 'call', 'said']"
777,he said he cannot invest now he need atleast 2 3 month of time,"['said', 'invest']"
778,had a call and explained and shared details of investment through whtsapp he said he not yet decided anything he said he take time to decide he is not responding to calls and msgs,"['call', 'shared', 'decided', 'said', 'decide', 'responding', 'calls', 'msgs']"
779,not responding to call rnr tried again not responding to call rnr,"['responding', 'call', 'responding', 'call']"
780,msgd through whtsapp shared details through whtsapp he said he will check and update he said he is evaluating once he decide he said he will update,"['msgd', 'shared', 'check', 'update', 'evaluating', 'decide', 'update']"
781,had a call explained and shared details through whtsapp he said he will update once he decides anything he said he will not yet decided,"['call', 'shared', 'update', 'decides', 'said', 'decided']"
